field1,Year,Ceremony,Award ID,Award Type,Award Name,Work,Nominee,Winner
22097,2018,61,584,Work,Best Alternative Music Album,Tranquility Base Hotel + Casino,Arctic Monkeys,FALSE
22098,2018,61,584,Work,Best Alternative Music Album,Utopia,Bj枚rk,FALSE
22099,2018,61,584,Work,Best Alternative Music Album,American Utopia,David Byrne,FALSE
22100,2018,61,584,Work,Best Alternative Music Album,Masseduction,St. Vincent,FALSE
22101,2018,61,584,Work,Best Alternative Music Album,Colors,Beck,TRUE
22102,2018,61,585,Work,Best Traditional Blues Album,No Mercy In This Land,Ben Harper And Charlie Musselwhite,FALSE
22103,2018,61,585,Work,Best Traditional Blues Album,Benton County Relic,Cedric Burnside,FALSE
22104,2018,61,585,Work,Best Traditional Blues Album,Something Smells Funky 'Round Here,Elvin Bishop's Big Fun Trio,FALSE
22105,2018,61,585,Work,Best Traditional Blues Album,Don't You Feel My Leg (The Naughty Bawdy Blues Of Blue Lu Barker),Maria Muldaur,FALSE
22106,2018,61,585,Work,Best Traditional Blues Album,The Blues Is Alive And Well,Buddy Guy,TRUE
22107,2018,61,586,Work,Best Contemporary Blues Album,Out Of The Blues,Boz Scaggs,FALSE
22108,2018,61,586,Work,Best Contemporary Blues Album,Cry No More,Danielle Nicole,FALSE
22109,2018,61,586,Work,Best Contemporary Blues Album,Here In Babylon,Teresa James And The Rhythm Tramps,FALSE
22110,2018,61,586,Work,Best Contemporary Blues Album,Victor Wainwright And The Train,Victor Wainwright And The Train,FALSE
22111,2018,61,586,Work,Best Contemporary Blues Album,Please Don't Be Dead,Fantastic Negrito,TRUE
22112,2018,61,594,Work,Best Orchestral Performance,"Ruggles, Stucky & Harbison: Orchestral Works","David Alan Miller, conductor (National Orchestral Institute Philharmonic)",FALSE
22113,2018,61,594,Work,Best Orchestral Performance,Beethoven: Symphony No. 3; Strauss: Horn Concerto No. 1,"Manfred Honeck, conductor (Pittsburgh Symphony Orchestra)",FALSE
22114,2018,61,594,Work,Best Orchestral Performance,Schumann: Symphonies Nos. 1-4,"Michael Tilson Thomas, conductor (San Francisco Symphony)",FALSE
22115,2018,61,594,Work,Best Orchestral Performance,Nielsen: Symphony No. 3 & Symphony No. 4,"Thomas Dausgaard, conductor (Seattle Symphony)",FALSE
22116,2018,61,594,Work,Best Orchestral Performance,Shostakovich: Symphonies Nos. 4 & 11,"Andris Nelsons, conductor (Boston Symphony Orchestra); Tim Martyn, producer; Shawn Murphy & Nick Squire, engineers/mixers",TRUE
22117,2018,61,595,Work,Best Opera Recording,Lully: Alceste,"Christophe Rousset, conductor; Edwin Crossley-Mercer, Emiliano Gonzalez Toro & Judith Van Wanroij; Maximilien Ciup, producer (Les Talens Lyriques; Choeur De Chambre De Namur)",FALSE
22118,2018,61,595,Work,Best Opera Recording,Verdi: Rigoletto,"Constantine Orbelian, conductor; Francesco Demuro, Dmitri Hvorostovsky & Nadine Sierra; Vilius Keras & Aleksandra Keriene, producers (Kaunas City Symphony Orchestra; Men Of The Kaunas State Choir)",FALSE
22119,2018,61,595,Work,Best Opera Recording,Adams: Doctor Atomic,"John Adams, conductor; Aubrey Allicock, Julia Bullock, Gerald Finley & Brindley Sherratt; Friedemann Engelbrecht, producer (BBC Symphony Orchestra; BBC Singers)",FALSE
22120,2018,61,595,Work,Best Opera Recording,"Strauss, R.: Der Rosenkavalier","Sebastian Weigle, conductor; Ren茅e Fleming, Elina Garanca, G眉nther Groissb枚ck & Erin Morley; David Frost, producer (Metropolitan Opera Orchestra; Metropolitan Opera Chorus)",FALSE
22121,2018,61,595,Work,Best Opera Recording,Bates: The (R)evolution Of Steve Jobs,"Michael Christie, conductor; Sasha Cooke, Jessica E. Jones, Edward Parks, Garrett Sorenson & Wei Wu; Elizabeth Ostrow, producer (The Santa Fe Opera Orchestra); Mark Donahue & Dirk Sobotka, engineers; Mark Donahue, mixer",TRUE
22122,2018,61,596,Work,Best Choral Performance,Rachmaninov: The Bells,"Mariss Jansons, conductor; Peter Dijkstra, chorus master (Oleg Dolgov, Alexey Markov & Tatiana Pavlovskaya; Symphonieorchester Des Bayerischen Rundfunks; Chor Des Bayerischen Rundfunks)",FALSE
22123,2018,61,596,Work,Best Choral Performance,Seven Words From The Cross,"Matthew Guard, conductor (Skylark)",FALSE
22124,2018,61,596,Work,Best Choral Performance,Kastalsky: Memory Eternal,"Steven Fox, conductor (The Clarion Choir)",FALSE
22125,2018,61,596,Work,Best Choral Performance,Chesnokov: Teach Me Thy Statutes,"Vladimir Gorbik, conductor (Mikhail Davydov & Vladimir Krasov; PaTRAM Institute Male Choir)",FALSE
22126,2018,61,596,Work,Best Choral Performance,McLoskey: Zealot Canticles,"Donald Nally, conductor (Doris Hall-Gulati, Rebecca Harris, Arlen Hlusko, Lorenzo Raval & Mandy Wolman; The Crossing); Paul Vazquez, producer",TRUE
22127,2018,61,601,Work,Best Contemporary Classical Composition,Du Yun: Air Glow,"Du Yun, composer (International Contemporary Ensemble)",FALSE
22128,2018,61,601,Work,Best Contemporary Classical Composition,Heggie: Great Scott,"Jake Heggie, composer; Terrence McNally, librettist (Patrick Summers, Manuel Palazzo, Mark Hancock, Michael Mayes, Rodell Rosel, Kevin Burdette, Anthony Roth Costanzo, Nathan Gunn, Frederica von Stade, Ailyn P茅rez, Joyce DiDonato, Dallas Opera Chorus & Orchestra)",FALSE
22129,2018,61,601,Work,Best Contemporary Classical Composition,Bates: The (R)evolution Of Steve Jobs,"Mason Bates, composer; Mark Campbell, librettist (Michael Christie, Garrett Sorenson, Wei Wu, Sasha Cooke, Edward Parks, Jessica E. Jones & Santa Fe Opera Orchestra)",FALSE
22130,2018,61,601,Work,Best Contemporary Classical Composition,Mazzoli: Vespers For Violin,"Missy Mazzoli, composer (Olivia De Prato)",FALSE
22131,2018,61,601,Work,Best Contemporary Classical Composition,Kernis: Violin Concerto,"Aaron Jay Kernis, composer (James Ehnes, Ludovic Morlot & Seattle Symphony)",TRUE
22132,2018,61,609,Work,Best Country Song,When Someone Stops Loving You,"Hillary Lindsey, Chase McGill & Lori McKenna, songwriters (Little Big Town)",FALSE
22133,2018,61,609,Work,Best Country Song,Break Up In The End,"Jessie Jo Dillon, Chase McGill & Jon Nite, songwriters (Cole Swindell)",FALSE
22134,2018,61,609,Work,Best Country Song,Tequila,"Nicolle Galyon, Jordan Reynolds & Dan Smyers, songwriters (Dan + Shay)",FALSE
22135,2018,61,609,Work,Best Country Song,I Lived It,"Rhett Akins, Ross Copperman, Ashley Gorley & Ben Hayslip, songwriters (Blake Shelton)",FALSE
